"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"2356","H2",2004,2004,"2004",2,0,1,"Import",854,"Burkina Faso","BFA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,47644097,NA,NA,0
"2357","H2",2004,2004,"2004",2,0,2,"Export",854,"Burkina Faso","BFA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,64972,NA,NA,0
"2358","H2",2004,2004,"2004",2,0,1,"Import",858,"Uruguay","URY",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,78205211,NA,NA,0
"2359","H2",2004,2004,"2004",2,0,2,"Export",858,"Uruguay","URY",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,39826310,NA,NA,0
"2360","H2",2004,2004,"2004",2,0,1,"Import",894,"Zambia","ZMB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,44778811,NA,NA,0
"2361","H2",2004,2004,"2004",2,0,2,"Export",894,"Zambia","ZMB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,481743,NA,NA,0
"2362","H1",2000,2000,"2000",2,0,1,"Import",8,"Albania","ALB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,16341679,NA,NA,0
"2363","H1",2000,2000,"2000",2,0,2,"Export",8,"Albania","ALB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,285663,NA,NA,0
"2364","H1",2000,2000,"2000",2,0,1,"Import",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,457095369,NA,NA,0
"2365","H1",2000,2000,"2000",2,0,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,289427,NA,NA,0
"2366","H1",2000,2000,"2000",2,0,1,"Import",20,"Andorra","AND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,13646959,NA,NA,0
"2367","H1",2000,2000,"2000",2,0,2,"Export",20,"Andorra","AND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,464155,NA,NA,0
"2368","H1",2000,2000,"2000",2,0,1,"Import",28,"Antigua and Barbuda","ATG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,4751393,NA,NA,0
"2369","H1",2000,2000,"2000",2,0,2,"Export",28,"Antigua and Barbuda","ATG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,117874,NA,NA,0
"2370","H1",2000,2000,"2000",2,0,3,"Re-Export",28,"Antigua and Barbuda","ATG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,117874,NA,NA,0
"2371","H1",2000,2000,"2000",2,0,1,"Import",31,"Azerbaijan","AZE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,39632997,NA,NA,0
"2372","H1",2000,2000,"2000",2,0,2,"Export",31,"Azerbaijan","AZE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,308969,NA,NA,0
"2373","H1",2000,2000,"2000",2,0,1,"Import",32,"Argentina","ARG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,647629854,NA,NA,0
"2374","H1",2000,2000,"2000",2,0,2,"Export",32,"Argentina","ARG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,290391062,NA,NA,0
